accuracy_ 67042,accuracy_ 67243,accuracy_ 67708,accuracy_ 68851,accuracy_ 68926,accuracy_ 69016,accuracy_ 69100,accuracy_ 69139,accuracy_ 69169,accuracy_ 69241,accuracy_ 69247,accuracy_ 69637,accuracy_ 69670,accuracy_ 69739,accuracy_ 69745,accuracy_ 69859,accuracy_ 70552
12.77777778,8.666666667,18.22222222,7.888888889,11.55555556,2,10.44444444,0.111111111,1.333333333,9.111111111,40.22222222,0.111111111,10.55555556,4,0.1,13.22222222,6.777777778
11.55555556,3.222222222,3.444444444,9.222222222,13.55555556,6.333333333,17,0.555555556,6.666666667,7.444444444,51.44444444,7.222222222,4.444444444,27.88888889,12.77777778,67.22222222,2.777777778
10,4.444444444,3.555555556,13.66666667,6,12.22222222,17,0.333333333,3.111111111,32.22222222,43.44444444,4.666666667,20.66666667,2.666666667,4.666666667,4,14.55555556
5.444444444,14.33333333,4,10.11111111,3.222222222,1.333333333,5.222222222,9.333333333,5.222222222,13.22222222,55.44444444,1.222222222,1.333333333,1.222222222,87.66666667,82.55555556,0.222222222
1.777777778,10.22222222,3,6,18.22222222,13.55555556,0.555555556,9.444444444,2.555555556,5.111111111,20.33333333,7.333333333,9.444444444,5.555555556,12,56.11111111,8
4,0.222222222,9.111111111,15.22222222,32,3.666666667,3.444444444,9.444444444,7,2,19.11111111,7.444444444,2.444444444,2.555555556,36,86.33333333,12.55555556
5.555555556,22.22222222,8.222222222,16.55555556,6.666666667,9.222222222,16.44444444,3.222222222,0.333333333,13.88888889,1.333333333,12.33333333,10,5.222222222,6.222222222,87.22222222,7.888888889
13.33333333,21.33333333,13,9.777777778,10.66666667,18.22222222,0.555555556,0.444444444,0.333333333,18.11111111,4.222222222,2.222222222,3,3.222222222,2.222222222,66,7.888888889
1.666666667,19.44444444,6.888888889,8.333333333,23.77777778,20.88888889,0.555555556,4.444444444,8.111111111,1.444444444,6.888888889,2.222222222,6.111111111,1.888888889,0.222222222,59.77777778,14.66666667
13.22222222,21.66666667,7.222222222,7.111111111,11.55555556,6.222222222,2.777777778,9.666666667,1.444444444,3,7.333333333,5.888888889,9.888888889,11.11111111,7.555555556,75.33333333,1.444444444
9.333333333,7.888888889,6.333333333,11.66666667,3,27.77777778,1.444444444,8.444444444,3.888888889,0.888888889,16.55555556,2.777777778,9.444444444,5.444444444,5.444444444,19.77777778,3.555555556
14,81,0.1,13.33333333,5.333333333,10.88888889,4.555555556,5.888888889,20.11111111,15.11111111,4.111111111,6,27.11111111,8.444444444,20.33333333,6.111111111,2.777777778
7.222222222,4.555555556,4.666666667,11,20.77777778,0.222222222,19,3.444444444,10.55555556,2.777777778,5.222222222,1.444444444,17.22222222,5.333333333,5.222222222,70.77777778,4.222222222
1.666666667,2.222222222,14.66666667,0.222222222,10,0.444444444,10.44444444,2.111111111,2.333333333,7.666666667,7.111111111,2.555555556,4.777777778,9.111111111,15.88888889,19.88888889,4.444444444
2.888888889,5,7.222222222,13.55555556,9.777777778,16.11111111,22.66666667,0.111111111,12.44444444,2.111111111,8.666666667,5.666666667,3,14.66666667,2.555555556,18.55555556,1
3.888888889,14.77777778,14.11111111,8.888888889,12.88888889,0.333333333,21.55555556,0.333333333,4.444444444,5.777777778,10.55555556,2.222222222,9,28.77777778,4.444444444,22.22222222,21.11111111
13.88888889,5.111111111,7.777777778,19.66666667,30.22222222,7,8.333333333,8,6,10.11111111,8,8.111111111,18.44444444,1.444444444,3.111111111,9.222222222,2.888888889
