"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"115",0.02,,,,,0.017391304,,,0.112977099,0.202857143,,,0.22,,0.534117647,,,
"116",0.045783133,,,,,0.431325301,,,1.16,0.173333333,,,0.231460674,,0.125233645,,,
"117",0.146774194,,,,,0.090909091,,,0.060714286,0.114754098,,,0.2672,,0.149606299,,,
"118",0.977464789,,,,,0.063636364,,,0.018181818,0.194827586,,,0.142857143,,0.098947368,,,
"119",0.009302326,,,,,0.546341463,,,0.363414634,0.07027027,,,0.041558442,,0.25,,,
"120",0.657894737,,,,,0.24137931,,,0.152,0.107692308,,,0.091489362,,0.014893617,,,
"121",0.206,,,,,1,,,0.2,0.333333333,,,1,,0.157142857,,,
"122",1.616494845,,,,,0.087323944,,,0.335384615,0.065822785,,,0.386363636,,0.049056604,,,
"123",0.083018868,,,,,0.296,,,0.398214286,0.128421053,,,0.48,,0.050549451,,,
"124",0.491428572,,,,,0.510714286,,,0.08,0.166666667,,,0.389830509,,0.085245902,,,
"125",1.32,,,,,0.1,,,0.1,0.244444444,,,0.123684211,,0.443636364,,,
"126",0.4,,,,,0.070967742,,,0.212244898,0.305714286,,,2.061538462,,0.236144578,,,
"127",0.03902439,,,,,0.056521739,,,0.2,0.1,,,0.395081967,,0.408695652,,,
"128",0.047933884,,,,,0.656818182,,,0.106422018,0.074766355,,,0.607518797,,0.041935484,,,
"129",0.189285714,,,,,0.07027027,,,0.05,0.1,,,2.125,,0.209160305,,,
"130",0.133962264,,,,,0.063636364,,,0.565217391,0.213953488,,,0.158441558,,0.092035398,,,
"131",0.050549451,,,,,0.358823529,,,0.1,0.467961165,,,0.36097561,,0.1,,,
"132",0.28,,,,,0.395505618,,,0.228571429,0.143243243,,,0.328571429,,0.074626866,,,
"133",0.018181818,,,,,0.064,,,0.018181818,0.32,,,0.392771084,,0.07704918,,,
"134",0.332258065,,,,,0.021359223,,,0.012903226,0.029565217,,,0.582926829,,0.271755725,,,
"135",0.191176471,,,,,0.163636364,,,0.052631579,0.022413793,,,0.0625,,0.527272727,,,
"136",0.248648649,,,,,0.284615385,,,0.06,0.289552239,,,0.538461538,,0.003076923,,,
"137",0.209756098,,,,,0.58,,,0.119148936,0.148387097,,,0.45840708,,0.273170732,,,
"138",0.107692308,,,,,0.246511628,,,0.07704918,0.002857143,,,0.197297297,,0.528301887,,,
"139",0.226373626,,,,,0.028571429,,,0.246511628,0.048101266,,,0.526315789,,0.236956522,,,
"140",0.365517241,,,,,0.306666667,,,0.065,0.034545455,,,0.205405405,,0.234285714,,,
"141",0.053658537,,,,,0.2,,,0.182352941,0.103773585,,,0.210344828,,0.18019802,,,
"142",0.301538462,,,,,0.397368421,,,0.230612245,0.047058824,,,0.120930233,,0.064,,,
"143",0.158878505,,,,,0.57480315,,,0.336633663,0.008,,,0.06875,,0.08125,,,
"144",0.386813187,,,,,0.150561798,,,0.172,0.223300971,,,0.162068966,,0.419230769,,,
"145",0.127272727,,,,,0.457142857,,,0.01,0.181679389,,,0.005714286,,0.219277108,,,
"146",0.153846154,,,,,0.044897959,,,0.448,0.262857143,,,0.17826087,,0.386363636,,,
"147",0.289552239,,,,,0.374545454,,,0.076521739,0.232876712,,,0.048695652,,0.054285714,,,
"148",3.009302325,,,,,0.152631579,,,0.095652174,0.067857143,,,0.770909091,,0.195294118,,,
"149",1.771052632,,,,,0.173770492,,,0.077272727,0.123308271,,,0.158695652,,0.01,,,
"150",0.012389381,,,,,0.297674419,,,0.093129771,0.284337349,,,0.341463415,,0.190082645,,,
"151",0.607272727,,,,,2.468421053,,,0.024299065,,,,1,,0.27027027,,,
"152",0.08,,,,,0.073394495,,,0.015384615,,,,0.203053435,,0.065648855,,,
"153",0.366666667,,,,,0.250526316,,,0.068235294,,,,0.3,,0.062184874,,,
"154",0.015384615,,,,,0.2,,,0.066666667,,,,0.637313433,,0.263636364,,,
"155",0.002173913,,,,,0.11627907,,,0.255172414,,,,0.556756756,,0.061702128,,,
"156",0.103225806,,,,,0.191176471,,,0.384615385,,,,0.141463415,,0.055172414,,,
"157",0.06746988,,,,,0.021153846,,,0.129032258,,,,0.431818182,,0.22,,,
"158",0.133333333,,,,,0.011764706,,,0.035616438,,,,0.060869565,,0.3925,,,
"159",0.028571429,,,,,0.112328767,,,0.12,,,,0.130508475,,0.104545455,,,
"160",0.043037975,,,,,0.020253165,,,0.08,,,,0.23,,0.405504587,,,
"161",0.391549296,,,,,0.207058824,,,0.049056604,,,,0.774647888,,0.241860465,,,
"162",0.022222222,,,,,0.050909091,,,0.109302326,,,,0.108571429,,0.035849057,,,
"163",0.023529412,,,,,0.130232558,,,0.167567568,,,,1,,0.228571429,,,
"164",0.013592233,,,,,0.011764706,,,0.014285714,,,,1.715662651,,0.042857143,,,
"165",0.036363636,,,,,0.003883495,,,0.118918919,,,,0.233663366,,0.175806452,,,
"166",,,,,,0.061538462,,,,,,,0.211235955,,,,,
"167",,,,,,1,,,,,,,0.1,,,,,
"168",,,,,,0.026229508,,,,,,,0.269306931,,,,,
"169",,,,,,0.010810811,,,,,,,0.295,,,,,
"170",,,,,,0.273170732,,,,,,,0.123076923,,,,,
"171",,,,,,0.145454545,,,,,,,0.0352,,,,,
"172",,,,,,0.388571429,,,,,,,0.070689655,,,,,
"173",,,,,,0.058461538,,,,,,,0.060714286,,,,,
"174",,,,,,0.020895522,,,,,,,0.138461538,,,,,
"175",,,,,,0.40338983,,,,,,,0.423880597,,,,,
"176",,,,,,0.025,,,,,,,0.011267606,,,,,
"177",,,,,,0.047272727,,,,,,,0.085245902,,,,,
"178",,,,,,0.45,,,,,,,0.336842105,,,,,
"179",,,,,,0.150819672,,,,,,,0.005970149,,,,,
"180",,,,,,0.170588235,,,,,,,0.325,,,,,
