"","distance_ 66961","distance_ 67072","distance_ 67120","distance_ 67360","distance_ 67378","distance_ 67567","distance_ 67672","distance_ 67684","distance_ 67765","distance_ 68812","distance_ 68818","distance_ 68932","distance_ 68977","distance_ 69094","distance_ 69298","distance_ 69478","distance_ 69592","distance_ 69610","distance_ 69622","distance_ 69844"
"72",53.88888889,-25.55555556,-26.66666667,60,-32.77777778,-25,34.44444444,42.77777778,52.77777778,23.33333333,-72.22222222,-28.88888889,64.44444444,-64.44444444,73.33333333,38.33333333,-51.66666667,49.44444444,65,53.33333333
"73",71.66666667,46.11111111,-36.66666667,-62.77777778,-45,44.44444444,-59.44444444,-58.88888889,-23.88888889,-42.77777778,-40,61.66666667,60.55555556,73.88888889,71.66666667,66.11111111,-63.33333333,-53.33333333,-43.88888889,-70.55555556
"74",-70,72.77777778,-66.66666667,26.11111111,-35.55555556,45,40.55555556,65,-59.44444444,21.11111111,-40,46.11111111,-28.33333333,-27.22222222,-43.33333333,74.44444444,-72.22222222,-26.66666667,-51.11111111,62.77777778
"75",-65.55555556,-50,75,-40.55555556,-61.11111111,-20.55555556,29.44444444,-62.77777778,-71.11111111,-56.11111111,72.22222222,25.55555556,-56.11111111,63.33333333,-55.55555556,-42.77777778,40.55555556,35.55555556,-67.22222222,52.22222222
"76",-35,-23.33333333,46.66666667,43.88888889,51.11111111,40.55555556,35,52.77777778,72.77777778,-26.11111111,-60,22.77777778,-42.22222222,41.11111111,69.44444444,-34.44444444,-66.66666667,-62.77777778,62.77777778,45
"77",48.33333333,-32.77777778,28.88888889,-63.33333333,45,48.33333333,25,-75,30,-38.88888889,28.33333333,-66.11111111,31.11111111,67.77777778,26.66666667,53.88888889,49.44444444,-45,54.44444444,-55
"78",72.22222222,-36.11111111,20.55555556,50,48.33333333,35.55555556,-53.88888889,52.77777778,-31.66666667,-43.88888889,32.77777778,66.11111111,-21.66666667,-50,33.88888889,51.11111111,23.88888889,-43.88888889,66.66666667,-65.55555556
"79",46.11111111,-27.77777778,-58.88888889,-75,65,44.44444444,71.11111111,-60.55555556,48.88888889,-57.22222222,-43.33333333,40.55555556,45,-41.66666667,-63.88888889,29.44444444,29.44444444,-49.44444444,-25,-45
"80",-59.44444444,31.66666667,-56.66666667,36.66666667,43.33333333,-63.88888889,-57.22222222,-63.88888889,-24.44444444,-60,-72.22222222,55,25.55555556,-24.44444444,26.11111111,-50,-68.33333333,-20,28.33333333,38.88888889
"81",-34.44444444,-55.55555556,-68.88888889,-75,-27.22222222,-40.55555556,34.44444444,28.33333333,-57.22222222,-49.44444444,-34.44444444,72.22222222,58.88888889,64.44444444,72.77777778,-64.44444444,72.22222222,-48.33333333,57.22222222,-24.44444444
"82",22.77777778,50,-62.22222222,74.44444444,54.44444444,-33.33333333,23.33333333,-36.11111111,33.33333333,-51.66666667,72.77777778,-49.44444444,30.55555556,46.11111111,-72.77777778,52.77777778,27.22222222,59.44444444,-52.22222222,-67.77777778
"83",51.66666667,73.88888889,-69.44444444,20,34.44444444,-48.88888889,59.44444444,53.88888889,-28.33333333,-49.44444444,35.55555556,48.33333333,52.22222222,-62.77777778,-38.88888889,47.77777778,56.11111111,63.88888889,26.11111111,-69.44444444
"84",20,-20.55555556,63.33333333,65,-68.33333333,63.88888889,52.22222222,39.44444444,-58.33333333,-30,-27.77777778,41.11111111,53.33333333,25.55555556,-61.11111111,-53.33333333,-40.55555556,26.66666667,-72.22222222,-56.66666667
"85",-26.66666667,-21.11111111,27.77777778,31.66666667,-24.44444444,25.55555556,27.22222222,-24.44444444,-67.77777778,23.88888889,40,-27.22222222,44.44444444,65.55555556,-20.55555556,28.88888889,-39.44444444,-44.44444444,20.55555556,36.11111111
"86",-51.11111111,60.55555556,-72.77777778,-37.77777778,-32.22222222,36.11111111,-46.11111111,-35.55555556,39.44444444,46.11111111,-57.77777778,72.77777778,-25.55555556,-33.88888889,40.55555556,-52.22222222,-47.77777778,49.44444444,-22.22222222,70
"87",26.66666667,-46.11111111,25.55555556,-51.11111111,-42.22222222,73.88888889,-26.11111111,38.88888889,-55.55555556,56.66666667,-21.11111111,-30.55555556,58.33333333,68.33333333,-62.22222222,27.77777778,42.22222222,-22.22222222,-23.33333333,65.55555556
"88",-38.88888889,-50.55555556,-70,-74.44444444,-71.11111111,41.66666667,-25.55555556,-24.44444444,-26.11111111,-58.33333333,-72.77777778,-32.22222222,22.77777778,57.22222222,-31.11111111,-59.44444444,27.77777778,-61.66666667,-73.33333333,40
"89",62.22222222,65,-60,-30,-43.33333333,-21.66666667,57.77777778,-62.77777778,49.44444444,-41.66666667,38.33333333,55,-66.66666667,62.22222222,-73.88888889,59.44444444,-23.33333333,-29.44444444,-38.33333333,-38.88888889
"90",-43.88888889,-25,59.44444444,51.66666667,65,55,-66.11111111,-47.22222222,31.11111111,-50,-32.22222222,43.88888889,-20,66.66666667,22.22222222,-33.33333333,-46.66666667,-31.11111111,34.44444444,-23.88888889
"91",-52.22222222,33.88888889,25,38.33333333,73.88888889,-70,51.66666667,-39.44444444,55,46.11111111,22.77777778,23.33333333,64.44444444,60.55555556,20,35,30,-43.88888889,71.11111111,-32.22222222
"92",53.88888889,-58.88888889,-49.44444444,73.33333333,20.55555556,26.66666667,58.88888889,33.33333333,-25,-53.33333333,-30.55555556,55.55555556,73.33333333,-27.77777778,-70,-36.11111111,71.11111111,40.55555556,-55,62.22222222
"93",50.55555556,51.11111111,-57.22222222,-33.33333333,-69.44444444,-20.55555556,-64.44444444,71.11111111,62.22222222,50,-48.33333333,-56.11111111,50.55555556,-48.33333333,-33.33333333,71.11111111,-60,-26.11111111,-61.66666667,-48.88888889
"94",25,-61.66666667,42.77777778,-56.11111111,-72.22222222,-21.11111111,66.66666667,22.77777778,-61.66666667,65,-61.66666667,-68.88888889,37.77777778,41.11111111,-73.88888889,62.22222222,-28.33333333,-45,-62.77777778,-51.11111111
"95",-55,-66.11111111,-35,-57.22222222,30,-45.55555556,38.88888889,-31.11111111,-42.22222222,38.88888889,26.11111111,-63.88888889,-25,-71.66666667,45,26.66666667,-51.66666667,64.44444444,-38.88888889,-73.88888889
"96",66.11111111,-61.66666667,51.11111111,-58.88888889,34.44444444,-46.11111111,-36.66666667,-26.11111111,-41.11111111,-52.22222222,-55.55555556,-52.22222222,-47.77777778,-56.66666667,44.44444444,-42.77777778,72.22222222,31.66666667,-33.33333333,39.44444444
"97",66.11111111,-66.11111111,60,26.11111111,72.77777778,33.33333333,-50,-51.11111111,-25,-57.22222222,-71.11111111,44.44444444,48.88888889,-68.88888889,46.66666667,31.66666667,31.11111111,66.66666667,-38.33333333,39.44444444
"98",28.88888889,-21.11111111,-55.55555556,36.66666667,-30.55555556,-40,20,-23.33333333,-23.33333333,47.77777778,-29.44444444,44.44444444,-58.33333333,-20.55555556,-42.22222222,62.77777778,42.22222222,22.22222222,23.88888889,-56.66666667
"99",70,-66.66666667,-28.33333333,-49.44444444,-68.33333333,-52.77777778,-28.88888889,-67.77777778,-65.55555556,54.44444444,-48.33333333,25.55555556,28.88888889,49.44444444,35.55555556,-59.44444444,69.44444444,47.77777778,-72.77777778,42.22222222
"100",-57.77777778,-36.66666667,-47.22222222,-29.44444444,-61.11111111,-45.55555556,32.22222222,51.11111111,-30.55555556,23.88888889,64.44444444,-56.66666667,61.11111111,-73.33333333,-39.44444444,56.66666667,-65.55555556,-45.55555556,58.88888889,-62.22222222
"101",-52.22222222,-67.77777778,-74.44444444,-60.55555556,35,-29.44444444,-33.88888889,39.44444444,-40.55555556,48.33333333,-47.22222222,47.22222222,-67.77777778,21.11111111,67.22222222,-73.33333333,-66.11111111,48.88888889,56.11111111,-57.77777778
"102",31.11111111,41.11111111,-43.33333333,37.77777778,68.88888889,-37.77777778,73.33333333,26.66666667,71.11111111,23.33333333,-40,52.77777778,-23.88888889,-72.22222222,48.33333333,58.88888889,-31.66666667,-37.22222222,71.66666667,42.77777778
"103",52.77777778,-34.44444444,-44.44444444,41.11111111,29.44444444,68.33333333,45,56.11111111,61.11111111,-58.88888889,-24.44444444,71.11111111,-25.55555556,37.77777778,-40,-62.77777778,67.77777778,61.11111111,68.33333333,-69.44444444
"104",32.77777778,47.77777778,-61.66666667,-41.66666667,41.66666667,-75,41.11111111,55.55555556,-53.88888889,21.11111111,-57.77777778,-21.11111111,40.55555556,33.33333333,29.44444444,-70.55555556,50.55555556,24.44444444,-63.88888889,63.88888889
