"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14"
"121",,,,,,,,0.180357143,0.152941176,,,,,,0.125714286
"122",,,,,,,,0.003883495,0.04,,,,,,0.450847458
"123",,,,,,,,0.085294118,0.006896552,,,,,,0.048571429
"124",,,,,,,,0.242105263,0.0125,,,,,,0.096875
"125",,,,,,,,0.14,0.319685039,,,,,,0.048275862
"126",,,,,,,,0.084090909,0.1225,,,,,,0.174117647
"127",,,,,,,,0.1375,0.1,,,,,,0.341463415
"128",,,,,,,,0.085950413,0.060869565,,,,,,0.1
"129",,,,,,,,0.003076923,0.089473684,,,,,,0.221621622
"130",,,,,,,,0.083636364,0.2,,,,,,0.234482759
"131",,,,,,,,0.317241379,0.039175258,,,,,,0.037623762
"132",,,,,,,,0.289473684,0.318918919,,,,,,0.037209302
"133",,,,,,,,0.019512195,0.05,,,,,,0.04516129
"134",,,,,,,,0.091743119,0.037288136,,,,,,0.275
"135",,,,,,,,0.17826087,0.059677419,,,,,,0.013913043
"136",,,,,,,,,,,,,,,0.278947368
"137",,,,,,,,,,,,,,,0.163793104
"138",,,,,,,,,,,,,,,0.079699248
"139",,,,,,,,,,,,,,,0.1
"140",,,,,,,,,,,,,,,0.236144578
"141",,,,,,,,,,,,,,,0.136842105
"142",,,,,,,,,,,,,,,0.065384615
"143",,,,,,,,,,,,,,,0.125
"144",,,,,,,,,,,,,,,0.115517241
"145",,,,,,,,,,,,,,,0.092561983
"146",,,,,,,,,,,,,,,0.03125
"147",,,,,,,,,,,,,,,0.021621622
"148",,,,,,,,,,,,,,,0.030769231
"149",,,,,,,,,,,,,,,0.033333333
"150",,,,,,,,,,,,,,,0.052830189
"151",,,,,,,,,,,,,,,
"152",,,,,,,,,,,,,,,
"153",,,,,,,,,,,,,,,
"154",,,,,,,,,,,,,,,
"155",,,,,,,,,,,,,,,
"156",,,,,,,,,,,,,,,
"157",,,,,,,,,,,,,,,
"158",,,,,,,,,,,,,,,
"159",,,,,,,,,,,,,,,
"160",,,,,,,,,,,,,,,
"161",,,,,,,,,,,,,,,
"162",,,,,,,,,,,,,,,
"163",,,,,,,,,,,,,,,
"164",,,,,,,,,,,,,,,
"165",,,,,,,,,,,,,,,
"166",,,,,,,,,,,,,,,
"167",,,,,,,,,,,,,,,
"168",,,,,,,,,,,,,,,
"169",,,,,,,,,,,,,,,
"170",,,,,,,,,,,,,,,
"171",,,,,,,,,,,,,,,
"172",,,,,,,,,,,,,,,
"173",,,,,,,,,,,,,,,
"174",,,,,,,,,,,,,,,
"175",,,,,,,,,,,,,,,
"176",,,,,,,,,,,,,,,
"177",,,,,,,,,,,,,,,
"178",,,,,,,,,,,,,,,
"179",,,,,,,,,,,,,,,
"180",,,,,,,,,,,,,,,
