"","distance_ 21486","distance_ 21589","distance_ 22223","distance_ 66943","distance_ 67084","distance_ 67246","distance_ 67312","distance_ 67429","distance_ 67501","distance_ 67561","distance_ 68857","distance_ 68929","distance_ 68998","distance_ 69190","distance_ 69214","distance_ 69364","distance_ 69700","distance_ 69757"
"157",55.55555556,72.22222222,23.33333333,72.22222222,59.44444444,21.66666667,41.11111111,40,37.22222222,66.66666667,31.66666667,59.44444444,53.88888889,64.44444444,51.11111111,62.77777778,36.11111111,73.33333333
"158",28.88888889,33.88888889,43.33333333,24.44444444,33.33333333,50,40.55555556,53.33333333,22.22222222,56.66666667,56.11111111,22.77777778,63.33333333,56.11111111,62.77777778,36.66666667,23.33333333,38.88888889
"159",50.55555556,36.11111111,42.22222222,25,40,56.11111111,72.22222222,64.44444444,61.11111111,30,42.22222222,27.77777778,48.88888889,52.77777778,27.77777778,27.22222222,26.11111111,66.66666667
"160",46.11111111,41.11111111,31.11111111,48.88888889,65.55555556,68.33333333,28.88888889,23.88888889,23.33333333,20.55555556,52.77777778,67.77777778,55,51.66666667,60,29.44444444,55,46.11111111
"161",61.66666667,56.66666667,46.11111111,67.22222222,52.77777778,66.11111111,47.22222222,36.11111111,48.33333333,71.11111111,22.22222222,69.44444444,73.88888889,45,70,45.55555556,36.66666667,30
"162",26.66666667,44.44444444,63.88888889,21.66666667,60,37.77777778,52.22222222,32.22222222,20.55555556,25.55555556,42.77777778,24.44444444,65.55555556,68.88888889,43.88888889,22.77777778,53.88888889,71.11111111
"163",30.55555556,37.22222222,38.88888889,66.11111111,22.77777778,40,38.33333333,29.44444444,62.77777778,61.66666667,60.55555556,31.11111111,61.11111111,32.77777778,58.33333333,52.77777778,43.88888889,49.44444444
"164",41.11111111,50,38.88888889,74.44444444,29.44444444,59.44444444,70.55555556,71.11111111,65,70.55555556,30,51.11111111,73.33333333,54.44444444,51.66666667,49.44444444,42.77777778,53.88888889
"165",36.11111111,42.77777778,23.88888889,58.33333333,20,60.55555556,70.55555556,35.55555556,21.66666667,22.22222222,35,20.55555556,22.22222222,70,50.55555556,25,66.11111111,55
"166",40,56.66666667,37.22222222,44.44444444,34.44444444,38.33333333,63.88888889,45.55555556,43.33333333,64.44444444,57.22222222,63.88888889,28.33333333,56.11111111,54.44444444,64.44444444,71.11111111,29.44444444
"167",61.66666667,73.88888889,28.33333333,21.66666667,33.33333333,70,35.55555556,60,66.11111111,29.44444444,65,57.22222222,44.44444444,40.55555556,73.33333333,47.77777778,41.66666667,51.66666667
"168",48.88888889,51.11111111,50.55555556,36.11111111,26.66666667,25,37.22222222,31.11111111,47.22222222,46.11111111,63.88888889,23.88888889,63.33333333,62.22222222,60.55555556,40,68.88888889,50.55555556
"169",75,27.77777778,60,44.44444444,64.44444444,28.33333333,59.44444444,71.11111111,51.66666667,40.55555556,61.66666667,30.55555556,30.55555556,55,68.88888889,42.22222222,72.77777778,67.22222222
"170",23.33333333,67.77777778,32.22222222,42.22222222,26.11111111,55.55555556,32.22222222,35,21.11111111,31.11111111,73.33333333,25.55555556,51.66666667,25,43.88888889,51.11111111,32.22222222,42.77777778
"171",45.55555556,22.22222222,70.55555556,48.88888889,62.22222222,20.55555556,25.55555556,35,27.77777778,56.11111111,23.33333333,55.55555556,42.22222222,55,72.77777778,35,23.33333333,20
"172",20,42.77777778,68.88888889,22.77777778,61.11111111,28.33333333,38.33333333,42.22222222,45,32.22222222,41.66666667,70,39.44444444,41.66666667,53.88888889,50.55555556,37.22222222,58.88888889
"173",50.55555556,69.44444444,29.44444444,38.88888889,57.77777778,73.33333333,38.88888889,72.22222222,60,20,29.44444444,42.77777778,62.22222222,65.55555556,45.55555556,42.77777778,36.66666667,48.88888889
"174",56.66666667,35.55555556,45.55555556,47.77777778,69.44444444,71.11111111,72.77777778,50.55555556,21.66666667,31.66666667,30.55555556,20.55555556,23.33333333,42.22222222,37.22222222,73.33333333,54.44444444,58.33333333
"175",29.44444444,43.33333333,25.55555556,33.33333333,23.33333333,40,26.66666667,70,40,57.22222222,36.66666667,75,37.22222222,67.22222222,42.77777778,65.55555556,58.33333333,25.55555556
"176",26.66666667,38.88888889,52.22222222,67.22222222,51.66666667,30,27.77777778,29.44444444,63.88888889,50.55555556,35.55555556,25.55555556,31.11111111,73.88888889,72.22222222,51.66666667,72.77777778,55
"177",47.77777778,48.33333333,56.66666667,56.11111111,22.22222222,75,28.88888889,33.88888889,38.33333333,45,31.11111111,74.44444444,69.44444444,68.88888889,52.77777778,52.77777778,36.11111111,74.44444444
"178",74.44444444,28.88888889,38.88888889,37.22222222,31.11111111,52.22222222,63.33333333,45.55555556,22.77777778,66.66666667,23.88888889,36.66666667,33.33333333,29.44444444,74.44444444,28.88888889,41.66666667,69.44444444
"179",33.88888889,50.55555556,64.44444444,51.11111111,30.55555556,29.44444444,25.55555556,74.44444444,38.88888889,40.55555556,71.66666667,51.66666667,42.77777778,47.22222222,50,72.77777778,60,27.22222222
"180",27.77777778,40.55555556,51.11111111,59.44444444,58.33333333,63.33333333,20,48.88888889,53.33333333,62.77777778,51.11111111,58.88888889,62.22222222,69.44444444,32.77777778,75,36.66666667,39.44444444
