consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
,,,,,,,,,,,,,,,,,35.55555556,55,20,75,221.5555556,13.44444444,13.44444444,-0.18255341,-0.374061333,1,0,0,2.1698,submitButton,11.80065359,0.123627997,-0.303581769,0,0,0,0,48,48,39,1,55,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,35,-74,20,75,-60,14,14,-0.19757363,-0.382149073,1,0,0,0.4658,submitButton,11.86349206,0.055459307,-0.293183155,0,0,0,0,49,49,58,1,74,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,72.22222222,-72,20,75,-58.77777778,13.22222222,13.22222222,-0.173310197,-0.416811119,1,0,0,1.4136,submitButton,11.90123457,0.196418294,-0.312824981,0,0,0,0,50,50,56,1,72,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,29.44444444,27,20,75,226.4444444,19.44444444,19.44444444,-0.225303267,-0.412189584,1,0,0,3.0037,submitButton,12.10510511,0.20797231,-0.273541399,0,0,0,0,51,51,11,1,27,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-37.77777778,64,20,75,58.22222222,5.777777778,5.777777778,-0.145580561,-0.407567907,1,0,0,0.58,submitButton,11.93859649,0.263431583,-0.20652804,0,0,0,0,52,52,48,1,64,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-25,37,20,75,55,18,18,-0.2507221,-0.407567907,1,0,0,1.2845,submitButton,12.09401709,0.080878141,-0.323223595,0,0,0,0,53,53,21,1,37,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,65.55555556,-54,20,75,-48.44444444,5.555555556,5.555555556,-0.147891364,-0.408723379,1,0,0,1.3845,submitButton,11.93055556,0.167533256,-0.282784541,0,0,0,0,54,54,38,1,54,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,50.55555556,60,20,75,233.5555556,6.444444444,6.444444444,-0.151357568,-0.385615278,1,0,0,2.0524,submitButton,11.79674797,0.210283113,-0.234257676,0,0,0,0,55,55,44,1,60,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,74.44444444,-56,20,75,-40.55555556,15.44444444,15.44444444,-0.192952024,-0.387926151,1,0,0,1.2346,submitButton,11.88359788,0.060080913,-0.265453518,0,0,0,0,56,56,40,1,56,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,72.22222222,-53,20,75,-36.77777778,16.22222222,16.22222222,-0.209127575,-0.416811119,1,0,0,0.8859,submitButton,11.98449612,-0.22068166,-0.430675938,0,0,0,0,57,57,37,1,53,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
