"","distance_ 67042","distance_ 67243","distance_ 67708","distance_ 68851","distance_ 68926","distance_ 69016","distance_ 69100","distance_ 69139","distance_ 69169","distance_ 69241","distance_ 69247","distance_ 69637","distance_ 69670","distance_ 69739","distance_ 69745","distance_ 69859","distance_ 70552"
"45",50,37.22222222,51.11111111,32.22222222,65,38.33333333,29.44444444,29.44444444,65,55,71.11111111,49.44444444,64.44444444,29.44444444,70,51.66666667,30.55555556
"46",44.44444444,47.22222222,37.22222222,65.55555556,48.33333333,42.22222222,29.44444444,32.22222222,51.66666667,33.88888889,31.66666667,51.66666667,60,22.22222222,52.22222222,57.77777778,28.88888889
"47",58.33333333,63.33333333,35,67.22222222,56.66666667,72.77777778,60.55555556,20.55555556,26.66666667,63.88888889,67.77777778,62.77777778,55,37.77777778,67.77777778,55,63.88888889
"48",36.66666667,30.55555556,53.88888889,51.66666667,72.77777778,33.88888889,55.55555556,49.44444444,31.11111111,74.44444444,51.11111111,52.22222222,33.88888889,26.11111111,52.22222222,22.22222222,21.66666667
"49",37.77777778,66.66666667,62.22222222,38.88888889,44.44444444,62.22222222,22.22222222,31.66666667,59.44444444,50,66.66666667,31.11111111,53.88888889,31.11111111,29.44444444,41.66666667,35.55555556
"50",41.66666667,38.88888889,61.66666667,63.33333333,65,52.22222222,60.55555556,34.44444444,61.11111111,28.88888889,60.55555556,72.77777778,29.44444444,55.55555556,20.55555556,72.22222222,39.44444444
"51",25,70,20,41.66666667,63.33333333,28.88888889,74.44444444,66.11111111,51.11111111,66.11111111,38.88888889,50,28.88888889,44.44444444,31.66666667,56.11111111,22.77777778
"52",47.22222222,35.55555556,38.33333333,40,42.77777778,72.77777778,45,29.44444444,54.44444444,72.22222222,42.77777778,30.55555556,27.22222222,43.33333333,62.77777778,62.22222222,42.77777778
"53",73.33333333,42.77777778,36.66666667,37.77777778,60,45.55555556,74.44444444,61.11111111,46.66666667,41.66666667,28.88888889,65.55555556,52.77777778,66.11111111,53.88888889,48.88888889,74.44444444
"54",21.11111111,20,27.77777778,60.55555556,47.77777778,58.88888889,71.66666667,28.88888889,50.55555556,63.88888889,36.66666667,28.33333333,25,41.66666667,65.55555556,74.44444444,20
"55",73.88888889,62.77777778,61.11111111,43.88888889,31.11111111,21.66666667,65.55555556,48.33333333,40.55555556,32.77777778,30.55555556,37.77777778,70,22.77777778,74.44444444,62.22222222,66.11111111
"56",21.11111111,41.11111111,42.77777778,48.33333333,57.22222222,20,33.33333333,25,75,23.88888889,75,31.11111111,49.44444444,74.44444444,51.11111111,52.22222222,73.88888889
"57",43.33333333,41.11111111,67.77777778,61.11111111,57.22222222,53.88888889,62.22222222,42.22222222,25,52.77777778,23.33333333,63.33333333,71.66666667,38.88888889,36.66666667,68.88888889,51.66666667
"58",27.22222222,72.22222222,60.55555556,61.11111111,25,28.33333333,51.66666667,26.66666667,45,71.66666667,72.77777778,22.77777778,25.55555556,47.22222222,24.44444444,69.44444444,48.88888889
"59",46.66666667,40.55555556,55,48.33333333,29.44444444,27.22222222,41.11111111,52.22222222,56.11111111,41.66666667,46.66666667,56.11111111,50.55555556,40,67.22222222,42.77777778,68.88888889
"60",32.77777778,53.88888889,46.11111111,63.88888889,26.11111111,58.33333333,74.44444444,45,30,46.11111111,55,48.33333333,58.88888889,72.77777778,62.22222222,51.66666667,56.66666667
"61",41.11111111,21.66666667,52.77777778,39.44444444,34.44444444,66.11111111,21.66666667,21.66666667,66.66666667,31.11111111,25.55555556,42.22222222,44.44444444,62.22222222,31.66666667,66.66666667,57.22222222
"62",31.11111111,61.11111111,28.33333333,23.33333333,65,31.11111111,26.66666667,23.33333333,70.55555556,27.22222222,36.66666667,47.22222222,41.11111111,40,66.11111111,27.77777778,38.33333333
"63",50.55555556,58.33333333,68.33333333,24.44444444,32.77777778,43.33333333,35,33.88888889,21.66666667,47.77777778,43.88888889,74.44444444,48.88888889,22.22222222,48.88888889,70.55555556,41.66666667
"64",58.33333333,58.33333333,53.33333333,73.88888889,50,37.22222222,31.66666667,50,66.66666667,55.55555556,45.55555556,24.44444444,50,61.66666667,26.66666667,60.55555556,57.77777778
"65",21.66666667,63.33333333,57.22222222,71.11111111,67.77777778,58.33333333,62.22222222,40,36.66666667,42.22222222,22.77777778,40,36.11111111,48.33333333,57.22222222,24.44444444,33.88888889
"66",63.88888889,59.44444444,67.77777778,67.22222222,58.88888889,34.44444444,52.77777778,27.22222222,63.88888889,22.22222222,62.22222222,57.22222222,73.88888889,25,68.33333333,61.11111111,48.33333333
"67",50.55555556,23.33333333,62.77777778,21.66666667,70.55555556,60,36.11111111,75,53.88888889,38.33333333,52.22222222,68.33333333,57.77777778,56.66666667,67.22222222,62.77777778,36.66666667
"68",35.55555556,57.77777778,26.66666667,65,71.66666667,26.66666667,43.88888889,66.66666667,44.44444444,43.33333333,20,47.77777778,58.33333333,66.66666667,21.11111111,71.11111111,74.44444444
"69",20,71.11111111,70.55555556,47.22222222,49.44444444,38.33333333,38.33333333,41.66666667,22.77777778,22.77777778,23.88888889,72.77777778,71.66666667,38.88888889,39.44444444,42.22222222,66.66666667
"70",45,26.66666667,61.66666667,50.55555556,33.88888889,60.55555556,64.44444444,45,43.33333333,47.77777778,23.33333333,51.66666667,61.66666667,39.44444444,22.22222222,50.55555556,21.66666667
"71",22.22222222,73.88888889,41.66666667,58.33333333,57.77777778,38.33333333,46.66666667,33.33333333,67.22222222,56.66666667,30,56.11111111,29.44444444,27.22222222,33.33333333,70.55555556,62.77777778
"72",26.11111111,71.66666667,71.11111111,38.88888889,34.44444444,72.77777778,69.44444444,56.66666667,51.11111111,67.77777778,21.11111111,48.33333333,28.33333333,33.33333333,46.66666667,28.88888889,44.44444444
"73",43.88888889,25,34.44444444,20.55555556,68.88888889,65,38.88888889,46.11111111,52.77777778,33.88888889,72.22222222,52.22222222,71.11111111,61.66666667,30.55555556,39.44444444,74.44444444
