"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"31",31.11111111,36.66666667,74.44444444,30.55555556,29.44444444,45,60,60.55555556,56.11111111,24.44444444,58.33333333,48.88888889,54.44444444,42.22222222
"32",24.44444444,70.55555556,32.22222222,75,36.11111111,56.11111111,48.33333333,25.55555556,23.88888889,28.88888889,20,75,70.55555556,29.44444444
"33",43.33333333,41.11111111,42.77777778,33.33333333,70,35,63.33333333,40.55555556,64.44444444,62.22222222,60,32.77777778,33.33333333,63.88888889
"34",46.66666667,72.77777778,73.33333333,62.77777778,42.77777778,39.44444444,64.44444444,64.44444444,55,60.55555556,45.55555556,33.88888889,37.22222222,42.22222222
"35",30.55555556,35.55555556,59.44444444,58.88888889,66.11111111,47.77777778,55,65.55555556,60.55555556,39.44444444,28.88888889,21.11111111,20.55555556,58.33333333
"36",40.55555556,44.44444444,22.22222222,40.55555556,53.33333333,54.44444444,61.11111111,38.33333333,39.44444444,54.44444444,40,64.44444444,72.77777778,45
"37",39.44444444,21.11111111,68.33333333,61.66666667,50,36.66666667,61.66666667,69.44444444,65,59.44444444,50.55555556,71.11111111,41.66666667,51.66666667
"38",67.22222222,47.77777778,47.77777778,42.77777778,73.33333333,28.33333333,42.77777778,29.44444444,65.55555556,62.77777778,65,63.33333333,36.11111111,40
"39",44.44444444,23.88888889,32.77777778,62.22222222,70,47.22222222,61.66666667,53.88888889,28.33333333,43.33333333,64.44444444,43.33333333,21.66666667,35.55555556
"40",66.66666667,34.44444444,25.55555556,68.33333333,44.44444444,41.66666667,20.55555556,36.66666667,31.11111111,54.44444444,40,51.66666667,33.33333333,34.44444444
"41",51.66666667,58.88888889,35.55555556,60.55555556,30.55555556,20.55555556,57.77777778,75,70.55555556,58.88888889,52.77777778,21.11111111,70.55555556,27.22222222
